Dataset,NMI,ARI,ACC
ACSF1,0.56023,0.28319,0.46
Adiac,0.55604,0.18769,0.34783
AllGestureWiimoteX,0.18783,0.0814,0.29286
AllGestureWiimoteY,0.23337,0.1379,0.32286
AllGestureWiimoteZ,0.20878,0.09469,0.28
ArrowHead,0.23593,0.26369,0.64
Beef,0.56457,0.3032,0.6
BeetleFly,0.39875,0.46197,0.85
BirdChicken,0.11871,0.11333,0.7
BME,0.54216,0.42305,0.70667
Car,0.22221,0.11957,0.53333
CBF,0.62229,0.60481,0.85556
Chinatown,0.71748,0.78515,0.94461
ChlorineConcentration,0.01395,0.0054,0.5375
CinCECGTorso,0.22648,0.17428,0.46159
Coffee,0.69539,0.72459,0.92857
Computers,0.08356,0.09903,0.66
CricketX,0.44639,0.23395,0.3641
CricketY,0.36575,0.16608,0.3359
CricketZ,0.31806,0.1411,0.33333
Crop,0.45617,0.25835,0.40232
DiatomSizeReduction,0.77183,0.7876,0.89216
DistalPhalanxOutlineAgeGroup,0.34005,0.26455,0.69784
DistalPhalanxOutlineCorrect,0.07054,0.09828,0.65942
DistalPhalanxTW,0.61609,0.51309,0.66187
DodgerLoopDay,0.51883,0.34733,0.5625
DodgerLoopGame,0.31708,0.38403,0.81159
DodgerLoopWeekend,0.8898,0.93982,0.98551
Earthquakes,0,0,0.7482
ECG200,0,0,1
ECG5000,0.52657,0.60014,0.75244
ECGFiveDays,0.2254,0.27357,0.7619
ElectricDevices,0.2948,0.32031,0.53508
EOGHorizontalSignal,0.41284,0.20062,0.39227
EOGVerticalSignal,0.37453,0.16152,0.38398
EthanolLevel,0.01369,0.00682,0.302
FaceAll,0.50241,0.37916,0.50533
FaceFour,0.52717,0.44837,0.73864
FacesUCR,0.48551,0.33943,0.49415
FiftyWords,0.66106,0.31814,0.43516
Fish,0.41127,0.3051,0.55429
FordA,0.00191,-0.00079,0.96061
FordB,0.06699,0.02077,0.91235
FreezerRegularTrain,0.21904,0.2872,0.76807
FreezerSmallTrain,0.22924,0.28946,0.76912
Fungi,0.95696,0.88043,0.93548
GestureMidAirD1,0.71115,0.2805,0.52308
GestureMidAirD2,0.70623,0.28253,0.46923
GestureMidAirD3,0.57682,0.10536,0.35385
GesturePebbleZ1,0.62708,0.49851,0.69767
GesturePebbleZ2,0.63795,0.4894,0.63291
GunPoint,0.33647,0.23962,0.74667
GunPointAgeSpan,0.47044,0.51003,0.85759
GunPointMaleVersusFemale,0.14155,0.18815,0.71835
GunPointOldVersusYoung,0.37015,0.46416,0.84127
Ham,0.16464,0.11849,0.67619
HandOutlines,0.25779,0.33213,0.78919
Haptics,0.10963,0.07266,0.36688
Herring,0.05344,0.07774,0.65625
HouseTwenty,0.37731,0.38959,0.81513
InlineSkate,0.07549,0.03242,0.24364
InsectEPGRegularTrain,0.24691,0.28071,0.64659
InsectEPGSmallTrain,0.21945,0.23015,0.61446
InsectWingbeatSound,0.5451,0.36637,0.50455
ItalyPowerDemand,0.67543,0.77672,0.94072
LargeKitchenAppliances,0.14767,0.11002,0.56
Lightning2,0,0,1
Lightning7,0.52857,0.32018,0.57534
Mallat,0.90372,0.78048,0.81578
Meat,0.73368,0.56296,0.66667
MedicalImages,0.2099,0.17962,0.46974
MelbournePedestrian,0.54537,0.42871,0.6761
MiddlePhalanxOutlineAgeGroup,0.13916,0.08169,0.61688
MiddlePhalanxOutlineCorrect,0.10184,0.09584,0.66323
MiddlePhalanxTW,0.48465,0.31961,0.57792
MixedShapesRegularTrain,0.56883,0.53322,0.74763
MixedShapesSmallTrain,0.48326,0.47062,0.68619
MoteStrain,0.4014,0.49579,0.85224
NonInvasiveFetalECGThorax1,0.70095,0.37875,0.50585
NonInvasiveFetalECGThorax2,0.74914,0.46781,0.57252
OliveOil,0.09876,0.03205,0.43333
OSULeaf,0.29897,0.17974,0.43388
PhalangesOutlinesCorrect,0.051,0.07895,0.64219
Phoneme,0.24263,0.06004,0.18143
PickupGestureWiimoteZ,0.66615,0.34136,0.54
PigAirwayPressure,0.63127,0.04314,0.27404
PigArtPressure,0.70218,0.14129,0.38462
PigCVP,0.62446,0.0059,0.28365
PLAID,0.31504,0.18242,0.3892
Plane,0.91236,0.87177,0.94286
PowerCons,0.39875,0.48716,0.85
ProximalPhalanxOutlineAgeGroup,0.56033,0.66052,0.86829
ProximalPhalanxOutlineCorrect,0,0,0.68385
ProximalPhalanxTW,0.70296,0.7208,0.82439
RefrigerationDevices,0.12659,0.12085,0.528
Rock,0.45306,0.27162,0.58
ScreenType,0.04851,0.03688,0.44533
SemgHandGenderCh2,0.03381,0.06397,0.67333
SemgHandMovementCh2,0.22099,0.12266,0.36444
SemgHandSubjectCh2,0.39178,0.31903,0.53556
ShakeGestureWiimoteZ,0.70722,0.41631,0.64
ShapeletSim,0.86804,0.9126,0.97778
ShapesAll,0.68705,0.29464,0.46167
SmallKitchenAppliances,0.1754,0.18812,0.61867
SmoothSubspace,0.568,0.60149,0.84667
SonyAIBORobotSurface1,0.52611,0.6398,0.90017
SonyAIBORobotSurface2,0.46749,0.57464,0.87933
StarLightCurves,0.71511,0.65342,0.84993
Strawberry,0,0,0.64324
SwedishLeaf,0.50363,0.30031,0.4752
Symbols,0.83974,0.76336,0.87839
SyntheticControl,0.8685,0.74978,0.76333
ToeSegmentation1,0.20084,0.21292,0.73246
ToeSegmentation2,0.1368,0.15027,0.83846
Trace,0.65136,0.53399,0.73
TwoLeadECG,0.06025,0.04062,0.6014
TwoPatterns,0.85662,0.71277,0.75125
UMD,0.31221,0.22047,0.58333
UWaveGestureLibraryAll,0.72838,0.68698,0.84366
UWaveGestureLibraryX,0.47753,0.39551,0.58375
UWaveGestureLibraryY,0.42079,0.30897,0.50335
UWaveGestureLibraryZ,0.46254,0.3558,0.54634
Wafer,0.00015,0.00506,0.71334
Wine,0,0,0.5
WordSynonyms,0.44646,0.17715,0.33699
Worms,0,0,0.42857
WormsTwoClass,0,0,0.57143
Yoga,0.00427,0.00788,0.54633
