Dataset,NMI,ARI,ACC
ACSF1,0.52286,0.22936,0.45
Adiac,0.57442,0.20968,0.35806
AllGestureWiimoteX,0.25085,0.13112,0.36143
AllGestureWiimoteY,0.2743,0.15353,0.34714
AllGestureWiimoteZ,0.27694,0.11953,0.28857
ArrowHead,0.38895,0.36502,0.70286
Beef,0.46498,0.20263,0.56667
BeetleFly,0.531,0.62,0.9
BirdChicken,0.61898,0.62084,0.9
BME,0.4872,0.38685,0.69333
Car,0.28013,0.22129,0.61667
CBF,0.6287,0.63996,0.85778
Chinatown,0.84554,0.91684,0.97959
ChlorineConcentration,0.00095,-3.00E-05,0.40938
CinCECGTorso,0.13846,0.10759,0.43841
Coffee,1,1,1
Computers,0.04687,0.05784,0.624
CricketX,0.40511,0.21073,0.39487
CricketY,0.3116,0.14041,0.31795
CricketZ,0.30737,0.13804,0.31795
Crop,0.49167,0.29069,0.42018
DiatomSizeReduction,0.86057,0.898,0.95098
DistalPhalanxOutlineAgeGroup,0.3083,0.23918,0.70504
DistalPhalanxOutlineCorrect,0.04253,0.06737,0.63406
DistalPhalanxTW,0.5353,0.48242,0.66906
DodgerLoopDay,0.57022,0.38139,0.575
DodgerLoopGame,0.43677,0.52169,0.86232
DodgerLoopWeekend,0.87136,0.93944,0.98551
Earthquakes,0.00188,0.01851,0.71223
ECG200,0.05447,0.08037,0.9
ECG5000,0.56371,0.73323,0.80133
ECGFiveDays,0.30707,0.38829,0.81185
ElectricDevices,0.26672,0.29745,0.51096
EOGHorizontalSignal,0.41611,0.19711,0.4116
EOGVerticalSignal,0.38313,0.16846,0.39227
EthanolLevel,0.01261,0.00568,0.308
FaceAll,0.47919,0.37371,0.4929
FaceFour,0.59911,0.58658,0.79545
FacesUCR,0.50922,0.36571,0.51415
FiftyWords,0.65742,0.27496,0.41319
Fish,0.44802,0.33515,0.59429
FordA,0,0,1
FordB,0,0,1
FreezerRegularTrain,0.22059,0.28946,0.76912
FreezerSmallTrain,0.22574,0.29173,0.77018
Fungi,1,1,1
GestureMidAirD1,0.72555,0.33066,0.55385
GestureMidAirD2,0.71608,0.3184,0.50769
GestureMidAirD3,0.5859,0.11541,0.37692
GesturePebbleZ1,0.55567,0.43489,0.63372
GesturePebbleZ2,0.57379,0.40808,0.58861
GunPoint,0.33647,0.23962,0.74667
GunPointAgeSpan,0.43656,0.5191,0.86076
GunPointMaleVersusFemale,0.5341,0.5283,0.86392
GunPointOldVersusYoung,0.42651,0.50865,0.85714
Ham,0.12699,0.15967,0.70476
HandOutlines,0.35104,0.4733,0.84595
Haptics,0.10193,0.08249,0.37987
Herring,0.10727,0.14828,0.70312
HouseTwenty,0.53983,0.5813,0.88235
InlineSkate,0.11207,0.0394,0.28
InsectEPGRegularTrain,0.24366,0.2335,0.66265
InsectEPGSmallTrain,0.23857,0.29148,0.65462
InsectWingbeatSound,0.49256,0.33446,0.51313
ItalyPowerDemand,0.75308,0.83968,0.95821
LargeKitchenAppliances,0.18648,0.17612,0.56267
Lightning2,0.01885,0.01168,0.90164
Lightning7,0.50343,0.29904,0.58904
Mallat,0.8697,0.73862,0.79701
Meat,0.63086,0.56606,0.8
MedicalImages,0.11051,0.03879,0.38553
MelbournePedestrian,0.5274,0.41627,0.61706
MiddlePhalanxOutlineAgeGroup,0.15917,0.1469,0.64935
MiddlePhalanxOutlineCorrect,0.11766,0.16413,0.70447
MiddlePhalanxTW,0.47173,0.36736,0.59091
MixedShapesRegularTrain,0.5235,0.4786,0.6833
MixedShapesSmallTrain,0.52973,0.49916,0.66928
MoteStrain,0.44447,0.51849,0.86022
NonInvasiveFetalECGThorax1,0.69956,0.40514,0.52112
