Dataset,NMI,ARI,ACC
ACSF1,0.47662,0.1661,0.39
Adiac,0.6123,0.2087,0.34271
AllGestureWiimoteX,0.20039,0.09967,0.29143
AllGestureWiimoteY,0.19714,0.09492,0.30571
AllGestureWiimoteZ,0.24918,0.12566,0.29857
ArrowHead,0.23135,0.22649,0.61143
Beef,0.40709,0.18261,0.53333
BeetleFly,0.34371,0.21918,0.75
BirdChicken,0.531,0.62,0.9
BME,0.46714,0.36963,0.68667
Car,0.32144,0.18862,0.56667
CBF,0.44202,0.41104,0.72111
Chinatown,0.2067,0.30375,0.78134
ChlorineConcentration,0.02379,0.00946,0.53802
CinCECGTorso,0.22358,0.19149,0.51522
Coffee,1,1,1
Computers,0.09839,0.09939,0.66
CricketX,0.28525,0.11358,0.33077
CricketY,0.33709,0.13005,0.30513
CricketZ,0.25469,0.09791,0.30769
Crop,0.46038,0.27604,0.38762
DiatomSizeReduction,0.85497,0.83026,0.89542
DistalPhalanxOutlineAgeGroup,0.31996,0.29184,0.71942
DistalPhalanxOutlineCorrect,0.08172,0.11269,0.67029
DistalPhalanxTW,0.5215,0.50669,0.6259
DodgerLoopDay,0.36349,0.16294,0.4625
DodgerLoopGame,0.10408,0.13573,0.68841
DodgerLoopWeekend,0.39816,0.5299,0.86957
Earthquakes,0.04544,0.12601,0.7482
ECG200,0.01266,-0.00872,0.99
ECG5000,0.53215,0.60214,0.80111
ECGFiveDays,0.25155,0.32178,0.78397
ElectricDevices,0.33274,0.30445,0.51848
EOGHorizontalSignal,0.48225,0.29479,0.46961
EOGVerticalSignal,0.3906,0.1872,0.40608
EthanolLevel,0.03569,0.02469,0.346
FaceAll,0.41235,0.29943,0.43964
FaceFour,0.69149,0.60246,0.73864
FacesUCR,0.38333,0.27803,0.44976
FiftyWords,0.67377,0.2864,0.42198
Fish,0.32733,0.16395,0.44571
FordA,0,0,1
FordB,0.00247,5.00E-05,0.99877
FreezerRegularTrain,0.26282,0.33495,0.78947
FreezerSmallTrain,0.25396,0.31023,0.7786
Fungi,0.99439,0.9932,0.99462
GestureMidAirD1,0.71326,0.26705,0.49231
GestureMidAirD2,0.74444,0.32973,0.46923
GestureMidAirD3,0.63335,0.15454,0.36923
