Dataset,NMI,ARI,ACC
ACSF1,0.59221,0.31751,0.5
Adiac,0.60871,0.24063,0.40665
AllGestureWiimoteX,0.23058,0.10787,0.30714
AllGestureWiimoteY,0.24935,0.11649,0.33714
AllGestureWiimoteZ,0.2438,0.10352,0.28857
ArrowHead,0.29822,0.235,0.57143
Beef,0.38953,0.14989,0.5
BeetleFly,0.30017,0.32594,0.8
BirdChicken,0.30017,0.32594,0.8
BME,0.51337,0.4102,0.70667
Car,0.27826,0.14901,0.56667
CBF,0.47381,0.49461,0.79778
Chinatown,0.80213,0.89349,0.97376
ChlorineConcentration,0.00025,-0.00236,0.41693
CinCECGTorso,0.17489,0.12373,0.46594
Coffee,0.8122,0.85697,0.96429
Computers,0.14758,0.10518,0.664
CricketX,0.32346,0.1221,0.32051
CricketY,0.33641,0.14262,0.31282
CricketZ,0.31424,0.12928,0.32564
Crop,0.46853,0.26857,0.40458
DiatomSizeReduction,0.84187,0.86335,0.92157
DistalPhalanxOutlineAgeGroup,0.36872,0.30773,0.74101
DistalPhalanxOutlineCorrect,0.04453,0.07109,0.63768
DistalPhalanxTW,0.60159,0.50161,0.69065
DodgerLoopDay,0.54019,0.32443,0.5875
DodgerLoopGame,0.47414,0.4408,0.83333
DodgerLoopWeekend,0.8898,0.93982,0.98551
Earthquakes,0.00097,-0.01633,0.69065
ECG200,0,0,1
ECG5000,0.47191,0.61561,0.83956
ECGFiveDays,0.09559,0.11329,0.66899
ElectricDevices,0.30624,0.32302,0.5212
EOGHorizontalSignal,0.40061,0.20933,0.39503
EOGVerticalSignal,0.39737,0.21598,0.38674
EthanolLevel,0.01375,0.00603,0.31
FaceAll,0.46296,0.3198,0.49053
FaceFour,0.57195,0.52317,0.71591
FacesUCR,0.49541,0.34115,0.49854
FiftyWords,0.67473,0.31694,0.45055
Fish,0.41642,0.30535,0.56571
FordA,0,0,1
FordB,0.05972,0.01735,0.91852
FreezerRegularTrain,0.22083,0.2872,0.76807
FreezerSmallTrain,0.23678,0.30944,0.77825
Fungi,0.9531,0.89776,0.92473
GestureMidAirD1,0.72099,0.31044,0.53846
GestureMidAirD2,0.70187,0.26633,0.49231
GestureMidAirD3,0.58858,0.13306,0.36923
GesturePebbleZ1,0.53351,0.37037,0.61047
GesturePebbleZ2,0.56116,0.43004,0.60759
GunPoint,0.33647,0.23962,0.74667
GunPointAgeSpan,0.43844,0.46566,0.84177
GunPointMaleVersusFemale,0.09797,0.1229,0.67722
GunPointOldVersusYoung,0.36854,0.46416,0.84127
Ham,0.14942,0.19262,0.72381
HandOutlines,0.33041,0.44947,0.83784
Haptics,0.1159,0.07345,0.38961
Herring,0.04193,0.06255,0.64062
HouseTwenty,0.18907,0.25622,0.7563
InlineSkate,0.06346,0.03263,0.25273
InsectEPGRegularTrain,0.30827,0.29895,0.68675
InsectEPGSmallTrain,0.24698,0.22989,0.62249
InsectWingbeatSound,0.50776,0.34609,0.52677
ItalyPowerDemand,0.72395,0.8149,0.95141
LargeKitchenAppliances,0.22007,0.17614,0.568
Lightning2,0.02634,-0.00497,0.98361
Lightning7,0.53703,0.43612,0.61644
Mallat,0.9004,0.7676,0.79787
Meat,0.73368,0.56296,0.66667
MedicalImages,0.22742,0.10206,0.34737
MelbournePedestrian,0.54491,0.41592,0.66257
MiddlePhalanxOutlineAgeGroup,0.14315,0.15808,0.64286
