Dataset,NMI,ARI,ACC
ACSF1,0.56048,0.26209,0.48
Adiac,0.69416,0.31529,0.46803
AllGestureWiimoteX,0.23149,0.11766,0.31
AllGestureWiimoteY,0.29101,0.16453,0.35
AllGestureWiimoteZ,0.18297,0.0853,0.28429
ArrowHead,0.23214,0.23785,0.62857
Beef,0.37763,0.13221,0.46667
BeetleFly,0.39875,0.46197,0.85
BirdChicken,0.76103,0.79956,0.95
BME,0.52023,0.42079,0.70667
Car,0.32988,0.17166,0.56667
CBF,0.71894,0.67242,0.86556
Chinatown,0.85992,0.91701,0.97959
ChlorineConcentration,0.00933,0.00318,0.4013
CinCECGTorso,0.12624,0.10282,0.43623
Coffee,1,1,1
Computers,0.07993,0.08915,0.652
CricketX,0.39437,0.18489,0.36154
CricketY,0.39846,0.18074,0.36667
CricketZ,0.46795,0.22187,0.37692
Crop,0.43348,0.24516,0.37423
DiatomSizeReduction,1,1,1
DistalPhalanxOutlineAgeGroup,0.41265,0.33183,0.7482
DistalPhalanxOutlineCorrect,0.04668,0.0749,0.6413
DistalPhalanxTW,0.55381,0.52869,0.6259
DodgerLoopDay,0.56535,0.30818,0.5375
DodgerLoopGame,0.31708,0.38403,0.81159
DodgerLoopWeekend,0.8898,0.93982,0.98551
Earthquakes,0.05296,-0.07066,0.67626
ECG200,0.04012,0.07932,0.83
ECG5000,0.55524,0.61354,0.69667
ECGFiveDays,0.15374,0.20111,0.72474
ElectricDevices,0.37331,0.34096,0.51809
EOGHorizontalSignal,0.4271,0.22496,0.40055
EOGVerticalSignal,0.41692,0.20887,0.42541
EthanolLevel,0.01584,0.01129,0.32
FaceAll,0.5137,0.37732,0.52663
FaceFour,0.56993,0.51526,0.76136
FacesUCR,0.50515,0.36743,0.50976
FiftyWords,0.6654,0.29356,0.42198
Fish,0.364,0.24477,0.50857
FordA,0.00016,-0.00048,0.52879
FordB,0,0,0
FreezerRegularTrain,0.22653,0.29554,0.77193
FreezerSmallTrain,0.23159,0.30322,0.77544
Fungi,0.99369,0.98906,0.99462
GestureMidAirD1,0.73833,0.31769,0.54615
GestureMidAirD2,0.73479,0.31989,0.48462
GestureMidAirD3,0.62687,0.16045,0.40769
GesturePebbleZ1,0.64558,0.47978,0.73256
GesturePebbleZ2,0.70074,0.63216,0.8038
GunPoint,0.05854,0.06547,0.63333
GunPointAgeSpan,0.40101,0.39888,0.81646
GunPointMaleVersusFemale,0.61319,0.63481,0.89873
GunPointOldVersusYoung,0.24737,0.32076,0.78413
Ham,0.14629,0.11738,0.67619
HandOutlines,0.32358,0.44227,0.83514
Haptics,0.09692,0.05183,0.36039
Herring,0.0688,0.10146,0.67188
HouseTwenty,0.21539,0.22267,0.7395
InlineSkate,0.06807,0.03061,0.25273
InsectEPGRegularTrain,0.19357,0.19383,0.61446
InsectEPGSmallTrain,0.30876,0.38287,0.73092
InsectWingbeatSound,0.56874,0.38495,0.57222
ItalyPowerDemand,0.02809,0.02203,0.57532
LargeKitchenAppliances,0.1387,0.15226,0.59733
Lightning2,0.19368,0.15706,0.80328
Lightning7,0.52675,0.30898,0.60274
Mallat,0.95535,0.94665,0.97527
Meat,0.67885,0.61817,0.83333
MedicalImages,0.29547,0.10591,0.33553
MelbournePedestrian,0.48983,0.39942,0.60435
MiddlePhalanxOutlineAgeGroup,0.11625,0.06558,0.52597
MiddlePhalanxOutlineCorrect,0.27912,0.31677,0.78351
MiddlePhalanxTW,0.43344,0.41774,0.53896
MixedShapesRegularTrain,0.55275,0.53672,0.68948
MixedShapesSmallTrain,0.50972,0.49245,0.71918
MoteStrain,0.40172,0.4758,0.84505
NonInvasiveFetalECGThorax1,0.66075,0.32545,0.4514
NonInvasiveFetalECGThorax2,0.73937,0.44422,0.55115
OliveOil,0.6279,0.5943,0.8
OSULeaf,0.31315,0.2094,0.4876
PhalangesOutlinesCorrect,0.05302,0.09079,0.65385
Phoneme,0.29182,0.07147,0.1846
PickupGestureWiimoteZ,0.68239,0.33298,0.56
PigAirwayPressure,0.66805,0.06574,0.31731
PigArtPressure,0.86573,0.50202,0.65865
PigCVP,0.73568,0.20368,0.4375
PLAID,0.2943,0.15082,0.35568
Plane,0.96326,0.9563,0.98095
PowerCons,0.41559,0.50294,0.85556
